variable_1,variable_2,correlation
age,age,1.0
sleep_duration,age,0.3447093581647443
quality_of_sleep,age,0.4737338761619895
physical_activity_level,age,0.17899272043316286
stress_level,age,-0.42234448262025065
heart_rate,age,-0.2256061902985921
daily_steps,age,0.0579734029456786
systolic,age,0.605878444049098
diastolic,age,0.5938389204768403
sufficient_sleep,age,0.08810310350973322
activity_sleep_ratio,age,0.14162624978681626
age,sleep_duration,0.3447093581647443
sleep_duration,sleep_duration,1.0
quality_of_sleep,sleep_duration,0.8832130004106182
physical_activity_level,sleep_duration,0.21236031472575895
stress_level,sleep_duration,-0.8110230278940436
heart_rate,sleep_duration,-0.516454888517144
daily_steps,sleep_duration,-0.039532537675731685
systolic,sleep_duration,-0.1804062764300443
diastolic,sleep_duration,-0.16656986850262198
sufficient_sleep,sleep_duration,0.8789335627372736
activity_sleep_ratio,sleep_duration,-0.08706489931933967
age,quality_of_sleep,0.4737338761619895
sleep_duration,quality_of_sleep,0.8832130004106182
quality_of_sleep,quality_of_sleep,1.0
physical_activity_level,quality_of_sleep,0.19289645493975385
stress_level,quality_of_sleep,-0.8987520310040412
heart_rate,quality_of_sleep,-0.6598647331480086
daily_steps,quality_of_sleep,0.01679141492471703
systolic,quality_of_sleep,-0.12163199613350596
diastolic,quality_of_sleep,-0.11015092719366548
sufficient_sleep,quality_of_sleep,0.8286149001168818
activity_sleep_ratio,quality_of_sleep,-0.06349905553693509
age,physical_activity_level,0.17899272043316286
sleep_duration,physical_activity_level,0.21236031472575895
quality_of_sleep,physical_activity_level,0.19289645493975385
physical_activity_level,physical_activity_level,1.0
stress_level,physical_activity_level,-0.034134463516743055
heart_rate,physical_activity_level,0.13697098321363213
daily_steps,physical_activity_level,0.7727230504529323
systolic,physical_activity_level,0.2654159731612868
diastolic,physical_activity_level,0.3826506764202612
sufficient_sleep,physical_activity_level,0.35001440688741936
activity_sleep_ratio,physical_activity_level,0.9445437955441998
age,stress_level,-0.42234448262025065
sleep_duration,stress_level,-0.8110230278940436
quality_of_sleep,stress_level,-0.8987520310040412
physical_activity_level,stress_level,-0.034134463516743055
stress_level,stress_level,1.0
heart_rate,stress_level,0.6700264629986896
daily_steps,stress_level,0.18682895445881678
systolic,stress_level,0.1028181586846426
diastolic,stress_level,0.09181103513868386
sufficient_sleep,stress_level,-0.7115398068233022
activity_sleep_ratio,stress_level,0.20988604629274785
age,heart_rate,-0.2256061902985921
sleep_duration,heart_rate,-0.516454888517144
quality_of_sleep,heart_rate,-0.6598647331480086
physical_activity_level,heart_rate,0.13697098321363213
stress_level,heart_rate,0.6700264629986896
heart_rate,heart_rate,1.0
daily_steps,heart_rate,-0.030308575297108724
systolic,heart_rate,0.29414292125640196
diastolic,heart_rate,0.2710922189824597
sufficient_sleep,heart_rate,-0.43012968033022275
activity_sleep_ratio,heart_rate,0.2875736270388309
age,daily_steps,0.0579734029456786
sleep_duration,daily_steps,-0.039532537675731685
quality_of_sleep,daily_steps,0.01679141492471703
physical_activity_level,daily_steps,0.7727230504529323
stress_level,daily_steps,0.18682895445881678
heart_rate,daily_steps,-0.030308575297108724
daily_steps,daily_steps,1.0
systolic,daily_steps,0.10334221934166404
diastolic,daily_steps,0.241985972302142
sufficient_sleep,daily_steps,0.126007328360075
activity_sleep_ratio,daily_steps,0.8229474647876246
age,systolic,0.605878444049098
sleep_duration,systolic,-0.1804062764300443
quality_of_sleep,systolic,-0.12163199613350596
physical_activity_level,systolic,0.2654159731612868
stress_level,systolic,0.1028181586846426
heart_rate,systolic,0.29414292125640196
daily_steps,systolic,0.10334221934166404
systolic,systolic,1.0
diastolic,systolic,0.9728849870932399
sufficient_sleep,systolic,-0.34666491244783504
activity_sleep_ratio,systolic,0.3507759887857639
age,diastolic,0.5938389204768403
sleep_duration,diastolic,-0.16656986850262198
quality_of_sleep,diastolic,-0.11015092719366548
physical_activity_level,diastolic,0.3826506764202612
stress_level,diastolic,0.09181103513868386
heart_rate,diastolic,0.2710922189824597
daily_steps,diastolic,0.241985972302142
systolic,diastolic,0.9728849870932399
diastolic,diastolic,1.0
sufficient_sleep,diastolic,-0.31250706091644026
activity_sleep_ratio,diastolic,0.4645617799934631
age,sufficient_sleep,0.08810310350973322
sleep_duration,sufficient_sleep,0.8789335627372736
quality_of_sleep,sufficient_sleep,0.8286149001168818
physical_activity_level,sufficient_sleep,0.35001440688741936
stress_level,sufficient_sleep,-0.7115398068233022
heart_rate,sufficient_sleep,-0.43012968033022275
daily_steps,sufficient_sleep,0.126007328360075
systolic,sufficient_sleep,-0.34666491244783504
diastolic,sufficient_sleep,-0.31250706091644026
sufficient_sleep,sufficient_sleep,1.0
activity_sleep_ratio,sufficient_sleep,0.07452081874952503
age,activity_sleep_ratio,0.14162624978681626
sleep_duration,activity_sleep_ratio,-0.08706489931933967
quality_of_sleep,activity_sleep_ratio,-0.06349905553693509
physical_activity_level,activity_sleep_ratio,0.9445437955441998
stress_level,activity_sleep_ratio,0.20988604629274785
heart_rate,activity_sleep_ratio,0.2875736270388309
daily_steps,activity_sleep_ratio,0.8229474647876246
systolic,activity_sleep_ratio,0.3507759887857639
diastolic,activity_sleep_ratio,0.4645617799934631
sufficient_sleep,activity_sleep_ratio,0.07452081874952503
activity_sleep_ratio,activity_sleep_ratio,1.0
